,precision,recall,f1-score,support
BENIGN,0.0,0.0,0.0,10.0
DDoS,0.20388349514563106,0.38181818181818183,0.26582278481012656,55.0
DoS,0.14285714285714285,0.018518518518518517,0.03278688524590164,54.0
MQTT,0.2328767123287671,0.2786885245901639,0.2537313432835821,61.0
RECON,0.15789473684210525,0.06,0.08695652173913043,50.0
SPOOFING,0.0,0.0,0.0,10.0
accuracy,0.175,0.175,0.175,0.175
macro avg,0.12291868119560771,0.12317087082114404,0.10654958917979011,240.0
weighted avg,0.17095039267273116,0.175,0.15090076247954448,240.0
