,0,1,2,3,4,5
0,494,32481,2028,1553,549,502
1,14513,922830,57737,41141,16434,14109
2,5654,359991,22623,16285,6570,5553
3,856,55214,3320,2443,1012,870
4,398,23875,1500,1112,433,358
5,22,1530,81,63,28,20
