,precision,recall,f1-score,support
BENIGN,0.022039850917431193,0.016353338474220224,0.018775472821358247,37607.0
DDoS,0.6608906967648629,0.6605406631644862,0.660715633604521,1066764.0
DoS,0.25815773254963464,0.258356612811873,0.2582571343920218,416676.0
MQTT,0.0386050101295945,0.03768343404221926,0.03813865569578029,63715.0
RECON,0.017488824405928947,0.016115045526810232,0.01677385384933619,27676.0
SPOOFING,0.0007799298063174314,0.006880733944954129,0.0014010507880910684,1744.0
accuracy,0.5053742390882813,0.5053742390882813,0.5053742390882813,0.5053742390882813
macro avg,0.1663270074289616,0.1659883046607605,0.1656769668585181,1614182.0
weighted avg,0.5057400506307365,0.5053742390882813,0.5055439672615489,1614182.0
