,precision,recall,f1-score,support
BENIGN,0.02334152334152334,0.023240354189379638,0.02329082890301262,37607.0
DDoS,0.6608516553170293,0.8307460694211654,0.736123293861223,1066764.0
DoS,0.2575639811766036,0.08748284038437538,0.1306050497848449,416676.0
MQTT,0.04026962177180021,0.040037667739150906,0.04015330977546571,63715.0
RECON,0.01823408947700063,0.016729296141060848,0.01744931031883621,27676.0
SPOOFING,0.0016483516483516484,0.005160550458715597,0.002498611882287618,1744.0
accuracy,0.574011480737612,0.574011480737612,0.574011480737612,0.574011480737612
macro avg,0.1669848704553848,0.16723279638897462,0.15835340075427834,1614182.0
weighted avg,0.5056707296070041,0.574011480737612,0.5226246917653213,1614182.0
