,precision,recall,f1-score,support
BENIGN,0.022519031772803937,0.01313585236791023,0.016592771731828562,37607.0
DDoS,0.661090419873331,0.865074186980438,0.7494502951047333,1066764.0
DoS,0.2591735499318356,0.054293983814762546,0.0897800442491046,416676.0
MQTT,0.039027429429525376,0.03834261947736012,0.03868199379314713,63715.0
RECON,0.017302005913849595,0.01564532446885388,0.01643201396531441,27676.0
SPOOFING,0.0009340556697179152,0.011467889908256881,0.0017274140611504578,1744.0
accuracy,0.5878166154745871,0.5878166154745871,0.5878166154745871,0.5878166154745871
macro avg,0.1666744154318439,0.1663266428362636,0.15211075548421307,1614182.0
weighted avg,0.5061590601059195,0.5878166154745871,0.5206613609582572,1614182.0
