,BENIGN,DDoS,DoS,MQTT,RECON,SPOOFING
BENIGN,177,1,0,0,11,37418
DDoS,11,1031633,33947,58,66,1049
DoS,11,361769,54248,39,73,533
MQTT,20,78,41,48818,8,14750
RECON,79,53,0,10,24398,3136
SPOOFING,2,0,0,0,0,1742
