,BENIGN,DDoS,DoS,MQTT,RECON,SPOOFING
BENIGN,3394,0,0,1,213,33999
DDoS,48,544707,520173,279,481,1076
DoS,39,144525,271435,38,135,501
MQTT,247,1,99,38443,20,24905
RECON,248,0,0,1,24912,2515
SPOOFING,23,0,0,0,11,1710
