,precision,recall,f1-score,support
BENIGN,0.8646454336681435,0.9911452655090808,0.9235839238812626,37607.0
DDoS,0.7417399896145858,0.9640998383897469,0.838427374451968,1066764.0
DoS,0.6066479692531422,0.14016266952742318,0.2277134106518658,416673.0
MQTT,0.9896592319195647,0.9763477987914934,0.9829584508544477,63715.0
RECON,0.981506309148265,0.8993712964301199,0.9386454483746889,27676.0
SPOOFING,0.6818181818181818,0.008600917431192661,0.01698754246885617,1744.0
accuracy,0.7503857998400425,0.7503857998400425,0.7503857998400425,0.7503857998400425
macro avg,0.8110028525703138,0.6632879643465095,0.6547193584471815,1614179.0
weighted avg,0.7235637843638281,0.7503857998400425,0.6893015989312841,1614179.0
