,BENIGN,DDoS,DoS,MQTT,RECON,SPOOFING
BENIGN,37274,17,26,69,217,4
DDoS,174,1028467,37638,311,174,0
DoS,5,357980,58402,225,61,0
MQTT,1323,71,107,62208,6,0
RECON,2689,4,56,33,24891,3
SPOOFING,1644,21,41,12,11,15
