,BENIGN,DDoS,DoS,MQTT,RECON,SPOOFING
BENIGN,34074,449,378,310,110,2286
DDoS,150,690734,373894,1601,127,258
DoS,54,201628,214284,576,91,40
MQTT,1120,19,102,62227,8,239
RECON,1786,11,17,91,25116,655
SPOOFING,780,3,6,15,5,935
