,precision,recall,f1-score,support
BENIGN,0.977206055905857,0.7706278086526445,0.8617090865842055,37607.0
DDoS,0.999774887373339,0.9991835120045296,0.9994791122121697,1066764.0
DoS,0.9982833523539171,0.9992800161276387,0.9987814356031893,416676.0
MQTT,0.9967472933973245,0.9811347406419211,0.9888793976208555,63715.0
RECON,0.9932603529549262,0.9212313918196271,0.9558908988658731,27676.0
SPOOFING,0.12877497289763049,0.9535550458715596,0.22690680856869969,1744.0
accuracy,0.9917853129324946,0.9917853129324946,0.9917853129324946,0.9917853129324946
macro avg,0.8490078191471656,0.9375020858529868,0.8386077899091654,1614182.0
weighted avg,0.9976918161048317,0.9917853129324946,0.9940888298537823,1614182.0
