,0,1,2,3,4,5
0,24240,1,2,1,71,13292
1,0,1066661,61,37,1,4
2,0,527,416131,11,6,1
3,74,2,16,62416,2,1205
4,100,0,2,24,25277,2273
5,10,0,0,0,1,1733
