,precision,recall,f1-score,support
BENIGN,0.9799461137068995,0.7640332916744224,0.8586241931628018,37607.0
DDoS,0.91661615969464,0.9711295094322643,0.9430857303077738,1066764.0
DoS,0.9135758032654935,0.7736154710134493,0.8377904581705148,416676.0
MQTT,0.9943822906886071,0.9806795887938476,0.9874834060307226,63715.0
RECON,0.9940802885369296,0.9162089897384015,0.9535574608904934,27676.0
SPOOFING,0.12370062370062371,0.9552752293577982,0.21903760189324217,1744.0
accuracy,0.9147376194258144,0.9147376194258144,0.9147376194258144,0.9147376194258144
macro avg,0.8203835465988657,0.8934903466683638,0.799929808409258,1614182.0
weighted avg,0.9208478557465192,0.9147376194258144,0.915087348308634,1614182.0
