,0,1,2,3,4,5
0,34419,2,1,1,499,2685
1,4,1066666,69,24,1,0
2,0,551,416113,9,3,0
3,984,4,14,62623,2,88
4,1563,0,1,21,25846,245
5,524,0,0,0,152,1068
