,0,1,2,3,4,5
0,28733,0,1,2,95,8776
1,4,1035966,30477,290,18,9
2,10,94241,322347,45,26,7
3,210,0,12,62484,8,1001
4,291,0,3,16,25357,2009
5,73,0,1,0,4,1666
