,precision,recall,f1-score,support
BENIGN,0.9934045096665155,0.6408115510410296,0.7790708951605082,37607.0
DDoS,0.9994939973088153,0.999891259922532,0.9996925891491467,1066764.0
DoS,0.9997525406626144,0.9986824295135789,0.9992171985794316,416676.0
MQTT,0.9991834382054854,0.9794553872714431,0.9892210633104017,63715.0
RECON,0.9974630356364212,0.9091993062581298,0.9512882067179556,27676.0
SPOOFING,0.09202486584134743,0.9931192660550459,0.16844152686603453,1744.0
accuracy,0.988844504523034,0.988844504523034,0.988844504523034,0.988844504523034
macro avg,0.8468870645535334,0.9201932000102931,0.8144885799639131,1614182.0
weighted avg,0.9983913329964457,0.988844504523034,0.9922885054110921,1614182.0
