,0,1,2,3,4,5
0,29180,0,0,5,124,8298
1,0,1065382,1212,161,5,4
2,0,241,416374,42,17,2
3,307,1,9,62515,8,875
4,395,0,1,13,25483,1784
5,79,0,0,0,7,1658
