,BENIGN,DDoS,DoS,MQTT,RECON,SPOOFING
BENIGN,22841,8,0,2,21,14735
DDoS,6,1008128,57693,56,5,876
DoS,5,339230,76996,6,13,423
MQTT,495,134,217,53490,1,9378
RECON,739,3,1,8,24745,2180
SPOOFING,143,0,0,0,0,1601
