,precision,recall,f1-score,support
BENIGN,0.8749665197594293,0.9555136011912676,0.9134678936397377,37607.0
DDoS,0.8915995658763276,0.947995057950962,0.9189328683332099,1066764.0
DoS,0.8426536204645557,0.7047948871177158,0.7675834903774024,416673.0
MQTT,0.985141182653565,0.9708545868319862,0.9779457100848972,63715.0
RECON,0.9316211293260473,0.9240135857782916,0.92780176323332,27676.0
SPOOFING,0.76,0.05447247706422018,0.10165864098448368,1744.0
accuracy,0.8849179675859988,0.8849179675859988,0.8849179675859988,0.8849179675859988
macro avg,0.8809970030133208,0.759607365989074,0.7678983944421751,1614179.0
weighted avg,0.8828137734593962,0.8849179675859988,0.881335682290454,1614179.0
