,precision,recall,f1-score,support
BENIGN,0.9427132774774031,0.6073603318531124,0.7387605925350929,37607.0
DDoS,0.7481452731459596,0.9450337656688828,0.8351420948884278,1066764.0
DoS,0.5707339129919129,0.18478759122861332,0.2791834366728308,416673.0
MQTT,0.9986557634143609,0.839519736325826,0.9121993229704034,63715.0
RECON,0.9983861206374823,0.8940959676253794,0.9433674539181487,27676.0
SPOOFING,0.05484191415750351,0.9180045871559633,0.10350066263697191,1744.0
accuracy,0.7358545737492558,0.7358545737492558,0.7358545737492558,0.7358545737492558
macro avg,0.7189127103041036,0.7314669966429629,0.6353589272703125,1614179.0
weighted avg,0.720312186353216,0.7358545737492558,0.6934919944424633,1614179.0
