,precision,recall,f1-score,support
BENIGN,0.9522578792447411,0.7054005903156327,0.8104483311693271,37607.0
DDoS,0.7498225857114604,0.7250244665174302,0.7372150479828886,1066764.0
DoS,0.35117542692392995,0.38002222366220034,0.36502980152678793,416673.0
MQTT,0.9839016050907019,0.9755473593345366,0.9797066727612322,63715.0
RECON,0.9963689465998342,0.9121621621621622,0.952407899949069,27676.0
SPOOFING,0.10073901205756515,0.8910550458715596,0.18101339545719278,1744.0
accuracy,0.6487874021406548,0.6487874021406548,0.6487874021406548,0.6487874021406548
macro avg,0.6890442426047055,0.7648686413105871,0.6709701914744163,1614179.0
weighted avg,0.6644003596396753,0.6487874021406548,0.6555082214450344,1614179.0
