,BENIGN,DDoS,DoS,MQTT,RECON,SPOOFING
BENIGN,26528,0,6,0,32,11041
DDoS,8,773430,292526,768,17,15
DoS,18,258054,158345,221,26,9
MQTT,550,0,21,62157,15,972
RECON,566,0,2,28,25245,1835
SPOOFING,188,0,0,0,2,1554
