,BENIGN,DDoS,DoS,MQTT,RECON,SPOOFING
BENIGN,35934,15,4,29,1614,11
DDoS,59,1011287,54782,613,23,0
DoS,32,122702,293669,256,14,0
MQTT,1534,219,44,61858,49,11
RECON,2042,15,4,34,25573,8
SPOOFING,1468,1,2,1,177,95
